Name,BoxOffice,song_quantity,year,length_minutes
Annie Get Your Gun,127245278,31,1950,107
Dreamgirls,128941402,39,2006,130
Bye Bye Birdie,130212874,11,1963,120
Into The Woods,130894237,21,2014,125
Flower Drum Song,131191774,16,1961,132
Gypsy,133397795,16,1962,153
The Rocky Horror Picture Show,140576117,14,1975,101
Hairspray,145652571,17,2007,120
Les Miserables,156592957,34,2012,160
Annie ,163607956,16,1982,128
Gentlemen Prefer Blondes,168600000,6,1953,91
Mamma Mia,169222345,24,2008,109
The Music Man,180087030,18,1962,155
Paint Your Wagon,188064853,15,1969,164
The Best Little Whorehouse In Texas,199858769,15,1982,114
Cabaret,204930552,17,1972,124
Camelot,218495610,12,1967,179
Chicago,239112061,18,2002,113
Oliver,240691792,20,1968,153
The King And I,359118000,21,1956,144
Funny Girl,376454194,17,1968,155
Fiddler On The Roof,408170029,17,1971,181
South Pacific,456211764,16,1958,171
West Side Story,533899997,15,1957,153
Grease,602892685,24,1978,111
My Fair Lady,652645154,15,1964,175
The Sound Of Music,1362273686,16,1965,174
